time,life,sumv,extsumv,InsCurrent,AvgCurrent,soc,soh,maxv,maxv_no,minv,minv_no,maxt,maxt_no,mint,mint_no,posRelay,negRelay,preRelay,chgRelay,heatRelay,fanRelay,di1,di2,di3,di4,do1,do2,ai1,ai2,cc,cc2,cp,supplyVoltage,batErrCode,hdErrCode,otherErrCode,batSysErrCode,inAh,outAh,chg_sgnl_state,chg_state,chg_step,charger_state,chg_max_pmt_cur,chg_cur_step,max_pmt_chgt,max_pmt_chg_sumV,max_pmt_chg_cellV,chg_output_sumv,chg_output_cur,total_chg_time,rest_chg_time,Sumv_BMU1,HeatRelay_BMU1,FanRelay_BMU1,VNum_BMU1,TNum_BMU1,
14-15-7,251,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-8,15,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-9,35,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-10,56,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-11,75,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-12,96,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-13,117,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-14,137,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-15,157,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14-15-16,176,0,1,419.7,419.4,0,99.9,65.535,0,65.535,0,215,0,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,0,12.2,3c00c0c000000000,0000000300000000,0000000000000000,0000000000000000,86913,0,No,No,invalid,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
